가구번호,시도,주택층수,거주층수,주택방향,건축년도,침실(방수),거실수,욕실수,주택소유형태,현주택 거주년수,주 난방방식,주 난방연료,보조 난방방식(택1),보조 난방방식(택2),냉방방식,에어컨 설정 온도,주 취사연료,경제활동 가구원수,65세 이상 노인수,가구주성별,가구주교육정도,가구주직업,가구특성1,가구특성2,연간에너지소비량계,연간일반전력소비량,연간심야전력소비량,연간도시가스소비량,연간석유소비량계,연간프로판소비량,자가용 총 보유대수,연간지역난방소비량,연간연탄소비량,주난방시설,가중치,최종가중치,도시규모,주택형태,주택면적,가구원수,가구원구성,가구주연령대,가구 월평균소득
11001011,11,2,2,3,2,4,1,2,,12,1,5,,1,3,18,4,1,1,2,1,5,1,,9179.681648,3692.09,0,575.6936,0,0,1,0,0,3,10308.66592,12673.33042,1,1,4,3,3,5,3
11001069,11,15,11,1,5,3,1,2,,10,2,6,,1,3,21,4,1,0,1,3,1,1,,9616.274,3242.4,0,67,0,0,1,6129,0,4,7780.534684,4958.690343,1,3,4,4,3,3,4
11001070,11,29,28,5,5,3,1,2,,7,2,6,,1,3,23,4,1,0,2,2,3,1,,8308.174327,3417.065,0,167.9289,0,0,0,3618,0,4,7780.534684,9722.599177,1,3,4,3,3,5,3
11001071,11,5,2,6,5,3,1,2,,5,1,5,,1,3,28,4,1,0,1,3,1,1,,3407.5694,3962.29,0,0,0,0,1,0,0,3,9765.798,6896.578474,1,2,4,4,3,1,4
11001072,11,29,25,6,4,3,1,2,,7,2,6,,1,3,28,4,1,0,1,3,1,1,,9778.9507,3177.745,0,163,0,0,1,5346,0,4,7780.534684,4958.690343,1,3,4,4,3,3,4
11001073,11,14,8,6,4,3,1,2,,7,1,5,,1,3,23,4,1,0,1,3,1,1,,2722.9019,3166.165,0,0,0,0,1,0,0,3,7780.534684,5217.596635,1,3,4,4,3,3,4
11001075,11,15,7,5,5,3,1,2,,6,1,5,,1,3,26,4,1,0,1,3,1,1,,7959.9016,3458.56,0,478,0,0,1,0,0,3,7780.534684,5217.596635,1,3,4,4,3,2,3
11001076,11,17,15,3,5,3,1,2,,8,1,5,,1,1,,4,2,0,1,3,1,1,,8726.328061,3637.085,0,536.7627,0,0,1,0,0,3,7780.534684,5217.596635,1,3,3,4,3,4,2
11001077,11,10,9,6,4,2,1,1,,4,1,5,,1,3,24,4,1,0,1,3,1,1,,10081.3605,3443.12,0,682.6728,0,0,1,0,0,3,7780.534684,10230.24171,1,3,3,3,3,3,3
11001078,11,2,2,3,4,3,1,1,,14,1,5,,1,3,28,4,1,0,1,3,1,1,,14713.2247,3525.145,0,1120,0,0,1,0,0,3,10308.66592,6463.613282,1,1,3,4,3,3,4
11001079,11,20,6,1,3,2,1,1,,4,2,6,,1,3,27,4,1,0,1,3,1,1,,5894.5106,3178.71,0,124,0,0,2,1867.5,0,4,7780.534684,4958.690343,1,3,3,4,3,2,4
11001080,11,5,5,3,5,3,1,1,,7,2,6,,1,3,25,4,1,0,1,3,1,1,,10529.1959,3513.565,0,171,0,0,1,5724,0,4,7780.534684,4958.690343,1,3,4,4,3,4,3
11001081,11,15,8,6,5,3,1,2,,4,2,6,,1,3,24,4,1,0,1,4,1,1,,10287.7397,3380.395,0,120,0,0,1,6129,0,4,7780.534684,4958.690343,1,3,4,4,3,3,4
11001082,11,5,3,5,4,3,1,1,,6,2,6,,1,3,26,4,1,0,1,3,1,1,,12218.6561,3608.135,0,62,0,0,1,8469,0,4,7780.534684,4958.690343,1,3,4,4,3,3,4
11001084,11,20,2,5,3,2,1,1,,4,2,6,,1,3,27,4,1,0,1,3,1,1,,6274.6557,3611.995,0,38,0,0,1,2772,0,4,7780.534684,10532.00279,1,3,2,2,2,3,2
11001085,11,3,3,6,4,3,1,1,,4,1,5,,1,3,26,4,2,0,2,2,1,3,,13407.9062,3414.17,0,1004,0,0,1,0,0,3,9765.798,13522.25357,1,2,3,3,5,4,2
11001086,11,4,3,3,5,2,1,1,,6,1,5,,1,3,24,4,2,0,1,3,1,1,,10810.4351,3231.785,0,770,0,0,1,0,0,3,9765.798,13522.25357,1,2,2,3,3,2,3
11001087,11,2,2,3,3,2,1,1,,7,1,5,,1,3,23,4,1,0,1,3,3,1,,10377.6431,3444.085,0,711,0,0,1,0,0,3,10308.66592,6463.613282,1,1,3,4,3,3,2
11001088,11,2,1,5,4,2,1,1,,4,1,5,,1,1,,4,2,0,1,2,3,1,,19455.8714,3363.99,0,1588,0,0,0,0,0,3,10308.66592,13728.38157,1,1,2,2,2,4,2
11001089,11,5,4,3,5,4,1,1,,4,2,6,,1,1,,4,3,0,1,3,1,1,,7340.6705,3604.275,0,94,0,0,0,3260.574,0,4,7780.534684,6002.36893,1,3,4,4,3,4,3
11001090,11,15,10,5,4,4,1,2,,12,2,6,,1,1,,4,2,0,1,4,3,1,,16680.6203,3857.105,0,107,0,0,0,12247.5,0,4,7780.534684,4958.690343,1,3,4,4,3,5,2
11001091,11,15,6,3,4,2,1,1,,12,2,6,,1,3,23,4,1,0,1,3,999999,1,,7078.6618,3784.73,0,54,0,0,0,3260.574,0,4,7780.534684,4958.690343,1,3,3,4,3,3,4
11001092,11,15,14,7,4,2,0,1,,8,2,6,,1,3,26,4,1,0,1,3,1,1,,9902.4944,3431.54,0,59,0,0,2,6336,0,4,7780.534684,9722.599177,1,3,2,3,3,2,2
